TITLE,PLOT,POSTER,RATING,PEOPLE_RATED,JAPANESE_NAME,EPISODES,STATUS,AIRED,DURATION,POPULARITY,RANKED,CERTIFICATE,MEMBERS,FAVOURITES,PRODUCERS,LICENSORS,GENRE,STUDIOS
Fullmetal Alchemist: Brotherhood,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1208/94745.jpg,9.10,"2,057,278 users",鋼の錬金術師 FULLMETAL ALCHEMIST,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",24 min. per ep.,#3,,R - 17+ (violence & profanity),"3,241,036","220,820","Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken","Funimation,Aniplex of America","Action,Adventure,Drama,Fantasy",Bones
Ashita no Joe 2,"Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover.",https://cdn.myanimelist.net/images/anime/3/45028.jpg,8.72,"19,243 users",あしたのジョー２,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",24 min. per ep.,#3010,,PG-13 - Teens 13 or older,"49,432","2,509",Annapuru,add some,"Drama,Sports",Tokyo Movie Shinsha
Tian Guan Cifu Er,Second season of Tian Guan Cifu.,https://cdn.myanimelist.net/images/anime/1280/138635.jpg,8.73,619 users,天官賜福 貳,Unknown,Currently Airing,"Oct 18, 2023 to ?",Unknown,#4398,,PG-13 - Teens 13 or older,"23,377",314,"bilibili,Red Dog Culture House",add some,"Action,Adventure,Drama,Fantasy",add some
Mushishi Zoku Shou 2nd Season,"Ghostly, primordial beings known as Mushi continue to cause mysterious changes in the lives of humans. The travelling Mushishi, Ginko, persists in trying to set right the strange and unsettling situations he encounters. Time loops, living shadows, and telepathy are among the overt effects of interference from Mushi, but more subtle symptoms that take years to be noticed also rouse Ginko's concern as he passes from village to village. Through circumstance, Ginko has become an arbiter, determining which Mushi are blessings and which are curses. But the lines that he seeks to draw are subjective. Some of his patients would rather exercise their new powers until they are utterly consumed by them; others desperately strive to rid themselves of afflictions which are in fact protecting their lives from devastation. Those who cross paths with Mushi must learn to accept seemingly impossible consequences for their actions, and heal wounds they did not know they had. Otherwise, they risk meeting with fates beyond their comprehension. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/9/68095.jpg,8.73,"103,337 users",蟲師 続章,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",23 min. per ep.,#894,,PG-13 - Teens 13 or older,"259,073","1,425","Aniplex,Kodansha,Delfi Sound",Aniplex of America,"Adventure,Mystery,Slice of Life,Supernatural",Artland
Kingdom 4th Season,"Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony. Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement. However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force. [Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/1566/122794.jpg,8.74,"23,043 users",キングダム 第4シリーズ,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",24 min. per ep.,#2800,,R - 17+ (violence & profanity),"57,088",979,"Avex Pictures,Shueisha,NHK Enterprises",add some,,"Pierrot,Studio Signpost"
Cowboy Bebop,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters. Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh Corgi. While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds. [Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/4/19644.jpg,8.75,"934,771 users",カウボーイビバップ,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",24 min. per ep.,#43,,R - 17+ (violence & profanity),"1,810,012","80,189",Bandai Visual,Funimation,"Action,Award Winning,Sci-Fi",Sunrise
"""Oshi no Ko""","In the entertainment world, celebrities often show exaggerated versions of themselves to the public, concealing their true thoughts and struggles beneath elaborate lies. Fans buy into these fabrications, showering their idols with undying love and support, until something breaks the illusion. Sixteen-year-old rising star Ai Hoshino of pop idol group B Komachi has the world captivated; however, when she announces a hiatus due to health concerns, the news causes many to become worried. As a huge fan of Ai, gynecologist Gorou Amemiya cheers her on from his countryside medical practice, wishing he could meet her in person one day. His wish comes true when Ai shows up at his hospital—not sick, but pregnant with twins! While the doctor promises Ai to safely deliver her children, he wonders if this encounter with the idol will forever change the nature of his relationship with her. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1812/134736.jpg,8.76,"383,330 users",【推しの子】,11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023",30 min. per ep.,#285,,PG-13 - Teens 13 or older,"677,546","25,732","Shueisha,CyberAgent,Kadokawa",Sentai Filmworks,"Drama,Supernatural",Doga Kobo
Vinland Saga,"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth. The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1500/103005.jpg,8.75,"811,965 users",ヴィンランド・サガ,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",24 min. per ep.,#80,,R - 17+ (violence & profanity),"1,424,171","44,565","Production I.G,Dentsu,Kodansha,Twin Engine",Sentai Filmworks,"Action,Adventure,Drama",Wit Studio
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"After a brutal surprise attack by the forces of Quincy King Yhwach, the resident Reapers of the Soul Society lick their wounds and mourn their losses. Many of the surviving Soul Reaper captains train to battle without their Bankai, the ultimate technique wielded by the fiercest warriors. In the previous assault, Ichigo Kurosaki narrowly managed to help fend off Yhwach's fearsome wrath. However, to ultimately defeat his godly adversary and save his allies, Ichigo must now undergo severe training that will push him beyond his physical, emotional, and mental limits. Though Yhwach already holds the upper hand in this ongoing blood feud, he also successfully recruits Uryuu Ishida, Ichigo's close friend and rival, to be his successor. Yhwach strikes out once again at the weakened Soul Society, intent on finally obliterating his long-standing enemies. As Ichigo struggles to attain new power, the Soul Reaper captains fight for survival and borrowed time. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1164/138058.jpg,8.76,"88,651 users",BLEACH 千年血戦篇-訣別譚-,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",24 min. per ep.,#1087,,R - 17+ (violence & profanity),"212,675","3,445","TV Tokyo,Aniplex,Dentsu,Shueisha,Zack Promotion",VIZ Media,"Action,Adventure,Fantasy",Pierrot
Yojouhan Shinwa Taikei,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life. Surreal, artistic, and mind-bending, Yojouhan Shinwa Taikei chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1633/123689.jpg,8.56,"141,467 users",四畳半神話大系,11,Finished Airing,"Apr 23, 2010 to Jul 2, 2010",22 min. per ep.,#496,,R - 17+ (violence & profanity),"438,279","17,945","Dentsu,Kadokawa Shoten,Fuji TV,TOHO,Asmik Ace,Tohokushinsha Film Corporation,Sony Music Entertainment,Fujipacific Music",Funimation,"Award Winning,Comedy,Mystery,Romance",Madhouse
Ookami Kodomo no Ame to Yuki,"Hana, a hard-working college student, falls in love with a mysterious man who attends one of her classes though he is not an actual student. As it turns out, he is not truly human either. On a full moon night, he transforms, revealing that he is the last werewolf alive. Despite this, Hana's love remains strong, and the two ultimately decide to start a family. Hana gives birth to two healthy children—Ame, born during rainfall, and Yuki, born during snowfall—both possessing the ability to turn into wolves, a trait inherited from their father. All too soon, however, the sudden death of her lover devastates Hana's life, leaving her to raise a peculiar family completely on her own. The stress of raising her wild-natured children in a densely populated city, all while keeping their identity a secret, culminates in a decision to move to the countryside, where she hopes Ame and Yuki can live a life free from the judgments of society. Wolf Children is the heartwarming story about the challenges of being a single mother in an unforgiving modern world. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/9/35721.jpg,8.57,"450,464 users",おおかみこどもの雨と雪,1,Finished Airing,"Jul 21, 2012",1 hr. 57 min.,#225,,PG-13 - Teens 13 or older,"795,920","11,230","Madhouse,VAP,Dentsu,Yomiuri Telecasting,Kadokawa Shoten,TOHO,Hiroshima Television",Funimation,"Award Winning,Fantasy,Slice of Life",Studio Chizu
Shouwa Genroku Rakugo Shinjuu,"Yotarou is a former yakuza member fresh out of prison and fixated on just one thing: rather than return to a life of crime, the young man aspires to take to the stage of rakugo, a traditional Japanese form of comedic storytelling. Inspired during his incarceration by the performance of distinguished practitioner Yakumo Yuurakutei, he sets his mind on meeting the man who changed his life. After hearing Yotarou's desperate appeal for his mentorship, Yakumo is left with no choice but to accept his very first apprentice. As he eagerly begins his training, Yotarou meets Konatsu, an abrasive young woman who has been under Yakumo's care ever since her beloved father Sukeroku Yuurakutei, another prolific rakugo performer, passed away. Through her hidden passion, Yotarou is drawn to Sukeroku's unique style of rakugo despite learning under contrasting techniques. Upon seeing this, old memories and feelings return to Yakumo who reminisces about a much earlier time when he made a promise with his greatest rival. Shouwa Genroku Rakugo Shinjuu is a story set in both the past and present, depicting the art of rakugo, the relationships it creates, and the lives and hearts of those dedicated to keeping the unique form of storytelling alive. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1354/124768.jpg,8.57,"92,515 users",昭和元禄落語心中,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016",26 min. per ep.,#813,,PG-13 - Teens 13 or older,"285,626","5,779","Starchild Records,Mainichi Broadcasting System,Kodansha,DAX Production",add some,,Studio Deen
Natsume Yuujinchou San,"Natsume Yuujinchou San follows Takashi Natsume, a boy who is able to see youkai. Natsume and his bodyguard Madara, nicknamed Nyanko-sensei, continue on their quest to release youkai from their contracts in the ""Book of Friends."" Natsume comes to terms with his ability to see youkai and stops thinking of it as a curse. As he spends more time with his human and youkai friends, he realizes how much he values them both and decides he doesn't have to choose between the spirit and human worlds to be happy. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/82394.jpg,8.57,"115,570 users",夏目友人帳 参,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011",24 min. per ep.,#938,,PG-13 - Teens 13 or older,"247,410","1,394","Aniplex,Sakura Create","NIS America, Inc.","Drama,Slice of Life,Supernatural",Brain's Base
Dr. Stone: New World Part 2,Part two of Dr. Stone: New World.,https://cdn.myanimelist.net/images/anime/1236/138696.jpg,8.46,"9,053 users",Dr.STONE NEW WORLD,11,Currently Airing,"Oct 12, 2023 to ?",23 min. per ep.,#1502,,PG-13 - Teens 13 or older,"145,859",457,"TOHO animation,Shueisha",add some,"Adventure,Comedy,Sci-Fi",TMS Entertainment
Golden Kamuy 3rd Season,"After obtaining information about Asirpa from the foreteller Inkarmat, Saichi ""The Immortal"" Sugimoto, Genjirou Tanigaki, and Cikapasi join the Seventh Division's Otonoshin Koito and Hajime Tsukishima on a journey to Karafuto. Heading further north into the freezing Russian territory, they collect any clues about Asirpa's whereabouts they can find and rush after her. Meanwhile, Asirpa is unaware of what truly transpired at Abashiri Prison. Deeply disturbed and confused by her father Wilk's past actions, Asirpa follows his old friend Kiroranke to the place where Wilk was born and raised in order to better understand his motives. However, Kiroranke and the master sniper Hyakunosuke Ogata are scheming behind her back. Even if they were to obtain all 24 tattooed skins that form a map to the lost Ainu gold, the various factions searching for it now understand that the map is useless without Asirpa. Realizing the danger she could be in, Sugimoto desperately hopes to reach Asirpa first and protect her from the greedy clutches of those who plan to drag her into their sins. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1763/108108.jpg,8.45,"77,933 users",ゴールデンカムイ,12,Finished Airing,"Oct 5, 2020 to Dec 21, 2020",23 min. per ep.,#1397,,R - 17+ (violence & profanity),"160,411","1,432","Magic Capsule,NBCUniversal Entertainment Japan,Twin Engine",Funimation,"Action,Adventure",Geno Studio
Chihayafuru 3,"Winning the high school team tournament was a great accomplishment for the Mizusawa members. Each of them has made great strides in improving themselves, and the victory symbolizes how far they have come. But after accomplishing one goal, their individual aims are within reach. Chihaya Ayase has her sights set on Shinobu Wakamiya and the title of Queen, and now that Taichi Mashima has made it into Class A, he can finally compete against Arata Wataya. Everyone in Mizusawa wants to get better, and there is no telling what the future holds if they keep trying. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1898/110709.jpg,8.46,"60,114 users",ちはやふる 3,24,Finished Airing,"Oct 23, 2019 to Mar 25, 2020",22 min. per ep.,#1585,,PG-13 - Teens 13 or older,"136,050","1,496","Kodansha,Nippon Television Network,TC Entertainment,Nippon Television Music,FBC",Sentai Filmworks,"Drama,Sports",Madhouse
Mahou Shoujo Madoka★Magica,"Madoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer student. Kyuubey offers them a proposition: he will grant any one of their wishes and in exchange, they will each become a magical girl, gaining enough power to fulfill their dreams. However, Homura Akemi, a magical girl herself, urges them not to accept the offer, stating that everything is not what it seems. A story of hope, despair, and friendship, Mahou Shoujo Madoka★Magica deals with the difficulties of being a magical girl and the price one has to pay to make a dream come true. [Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/11/55225.jpg,8.36,"735,315 users",魔法少女まどか★マギカ,12,Finished Airing,"Jan 7, 2011 to Apr 22, 2011",24 min. per ep.,#101,,PG-13 - Teens 13 or older,"1,255,810","53,715","Aniplex,Mainichi Broadcasting System,Movic,Nitroplus,Houbunsha",Aniplex of America,"Award Winning,Drama,Fantasy,Suspense",Shaft
Owarimonogatari,"A peculiar transfer student named Ougi Oshino has just arrived at Naoetsu Private High School. She is quickly introduced to senior student Koyomi Araragi by their mutual friend Kanbaru Suruga, in hopes of obtaining advice regarding a strange discovery she has made. After taking a look at the school's layout, Ougi notices that a classroom has appeared in an otherwise empty area—a place that should not exist. Unsure if this is the work of an apparition, Araragi and Ougi attempt to unravel the truth behind this enigma. But Araragi soon discovers, after finding himself locked in with Ougi, that the room holds the memory of an event he had long since forgotten. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/76479.jpg,8.45,"229,818 users",終物語,12,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",26 min. per ep.,#460,,R - 17+ (violence & profanity),"468,184","2,830",Aniplex,Aniplex of America,"Comedy,Mystery,Supernatural",Shaft
Kaze no Tani no Nausicaä,"A millennium has passed since the catastrophic nuclear war named the ""Seven Days of Fire,"" which destroyed nearly all life on Earth. Humanity now lives in a constant struggle against the treacherous jungle that has evolved in response to the destruction caused by mankind. Filled with poisonous spores and enormous insects, the jungle spreads rapidly across the Earth and threatens to swallow the remnants of the human race. Away from the jungle exists a peaceful farming kingdom known as the ""Valley of the Wind,"" whose placement by the sea frees it from the spread of the jungle's deadly toxins. The Valley's charismatic young princess, Nausicaä, finds her tranquil kingdom disturbed when an airship from the kingdom of Tolmekia crashes violently in the Valley. After Nausicaä and the citizens of the Valley find a sinister pulsating object in the wreckage, the Valley is suddenly invaded by the Tolmekian military, who intend to revive a dangerous weapon from the Seven Days of Fire. Now Nausicaä must fight to stop the Tolmekians from plunging the Earth into a cataclysm which humanity could never survive, while also protecting the Valley from the encroaching forces of the toxic jungle. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/10/75914.jpg,8.36,"228,683 users",風の谷のナウシカ,1,Finished Airing,"Mar 11, 1984",1 hr. 57 min.,#614,,PG-13 - Teens 13 or older,"365,133","5,083",add some,"Disney Platform Distribution,GKIDS","Adventure,Award Winning,Fantasy",Topcraft
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago. At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on—but themselves as well? [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/5/79697.jpg,8.30,"965,136 users",あの日見た花の名前を僕達はまだ知らない。,11,Finished Airing,"Apr 15, 2011 to Jun 24, 2011",22 min. per ep.,#64,,PG-13 - Teens 13 or older,"1,575,603","32,404","Aniplex,Dentsu,Fuji TV,Fujipacific Music","NIS America, Inc.,Aniplex of America","Drama,Supernatural",A-1 Pictures
Kizumonogatari I: Tekketsu-hen,"During Koyomi Araragi's second year at Naoetsu Private High School, he has a chance encounter with Tsubasa Hanekawa, the top honor student in his class. When they strike up a conversation, Hanekawa mentions a shocking rumor: a vampire with beautiful blonde hair and freezing cold eyes has been seen lurking around town. Happy to have made a new friend, Araragi writes off the rumor and goes about the rest of his evening in a carefree manner. However, on his way home, he stumbles across splatters of blood leading down the stairs to the subway. His curiosity pushes him to investigate further, so he follows the gruesome pools into the depths of the station. When he arrives at the source of the blood, he is terrified by what he sees—the rumored blonde vampire herself, completely dismembered. After she calls for his help, Araragi must make a decision, one which carries the potential to change his life forever. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1783/112810.jpg,8.36,"276,750 users",傷物語〈Ⅰ鉄血篇〉,1,Finished Airing,"Jan 8, 2016",1 hr. 4 min.,#410,,R - 17+ (violence & profanity),"516,335","3,513","Aniplex,Kodansha",Aniplex of America,"Action,Mystery,Supernatural",Shaft
Non Non Biyori Nonstop,"The carefree journeys of the four girls continue! As their fleeting yet eventful summer becomes a distant memory, the arrival of fall signals a new school year with limitless opportunities. Even as the four girls return to their peaceful routine, the appearance of new faces enlivens the anything but exciting rural life of Asahigaoka. Non Non Biyori Nonstop leisurely walks back into the lives of Hotaru Ichijou, Komari Koshigaya, Natsumi Koshigaya, and Renge Miyauchi as they fully embrace their rural lifestyles and turn anything they find into nothing but fun! [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1033/111540.jpg,8.37,"44,857 users",のんのんびより のんすとっぷ,12,Finished Airing,"Jan 11, 2021 to Mar 29, 2021",24 min. per ep.,#1754,,PG-13 - Teens 13 or older,"119,672",921,"TV Tokyo,Lantis,AT-X,Kadokawa,Bandai Namco Arts,Bit grooove promotion,Sony Music Solutions",Sentai Filmworks,,SILVER LINK.
NHK ni Youkoso!,"Twenty-two-year-old college dropout Tatsuhiro Satou has been a hikikomori for almost four years now. In his isolation, he has come to believe in many obscure conspiracy theories, but there is one in particular which he holds unshakable faith in: the theory that the evil conspirator behind his shut-in NEET (Not in Employment, Education or Training) status is the Nihon Hikikomori Kyokai (NHK)—an evil and secret organization dedicated to fostering the spread of hikikomori culture. NHK ni Youkoso! is a psychological dramedy that follows Tatsuhiro as he strives to escape from the NHK's wicked machinations and the disease of self-wrought isolation, while struggling to even just leave his apartment and find a job. His unexpected encounter with the mysterious Misaki Nakahara might signal a reversal of fortune for Tatsuhiro, but with this meeting comes the inevitable cost of having to face his greatest fear—society. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/3/52675.jpg,8.31,"327,404 users",N・H・Kにようこそ！,24,Finished Airing,"Jul 10, 2006 to Dec 18, 2006",24 min. per ep.,#258,,R+ - Mild Nudity,"723,412","26,057","NHK,Victor Entertainment","ADV Films,Funimation","Comedy,Drama,Romance",Gonzo
Kuroko no Basket 3rd Season,"Seirin prepares to face major obstacles on their path to winning the Winter Cup, including the teams each possessing a member of the Generation of Miracles. Kuroko goes head-to-head with his old teammates once more as he attempts to show them that individual skill is not the only way to play basketball. His firm belief that his form of basketball, team play, is the right way to play the sport will clash with the talents of a perfect copy and an absolute authority. While Kuroko tries to prove that his basketball is ""right,"" he and the rest of Seirin High ultimately have one goal: to win the Winter Cup and overcome the strength of the Generation of Miracles, who have long dominated the scene of middle and high school basketball. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/68299.jpg,8.30,"460,022 users",黒子のバスケ,25,Finished Airing,"Jan 11, 2015 to Jun 30, 2015",24 min. per ep.,#247,,PG-13 - Teens 13 or older,"743,266","5,078","Bandai Visual,Lantis,Nihon Ad Systems,Banpresto,Shueisha,BS11",add some,,Production I.G
Ookami to Koushinryou II,"Traveling merchant Kraft Lawrence continues his northward journey with wolf goddess Holo, in search of her lost home of Yoitsu. Lawrence and his sharp-witted partner continue to make some small profits along the way, while slowly uncovering more information about Holo's hometown. However, the road to Yoitsu is a bumpy one filled with many troubles—Lawrence runs into a charming young fellow merchant who has his eyes set on the female wolf companion, and he begins to doubt if Holo will remain by his side; he and the goddess will also have to consider precarious and risky business deals as Lawrence strives to achieve his dream of becoming a shopowner. All the while, with his determination tested at every turn during his journey, Lawrence must question his relationship with Holo, take on business ventures, and ask himself whether it is time for him and Holo to go their separate ways. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/6/59399.jpg,8.31,"270,050 users",狼と香辛料II,12,Finished Airing,"Jul 9, 2009 to Sep 24, 2009",24 min. per ep.,#445,,PG-13 - Teens 13 or older,"482,281","4,246","Imagin,Pony Canyon,Movic,Kadokawa Pictures Japan,flying DOG,ASCII Media Works",Funimation,"Adventure,Fantasy,Romance","Brain's Base,Marvy Jack"
Sakamichi no Apollon,"Introverted classical pianist and top student Kaoru Nishimi has just arrived in Kyushu for his first year of high school. Having constantly moved from place to place since his childhood, he abandons all hope of fitting in, preparing himself for another lonely, meaningless year. That is, until he encounters the notorious delinquent Sentarou Kawabuchi. Sentarou's immeasurable love for jazz music inspires Kaoru to learn more about the genre, and as a result, he slowly starts to break out of his shell, making his very first friend. Kaoru begins playing the piano at after-school jazz sessions, located in the basement of fellow student Ritsuko Mukae's family-owned record shop. As he discovers the immense joy of using his musical talents to bring enjoyment to himself and others, Kaoru's summer might just crescendo into one that he will remember forever. Sakamichi no Apollon is a heartwarming story of friendship, music, and love that follows three unique individuals brought together by their mutual appreciation for jazz. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1604/98654.jpg,8.30,"168,816 users",坂道のアポロン,12,Finished Airing,"Apr 13, 2012 to Jun 29, 2012",22 min. per ep.,#590,,PG-13 - Teens 13 or older,"377,594","6,941","Dentsu,Fuji TV,TOHO,DAX Production,Sony Music Entertainment",Sentai Filmworks,"Drama,Romance","Tezuka Productions,MAPPA"
Hunter x Hunter: Greed Island Final,"Continuing with their adventure at Greed Island, Gon and Killua train furiously under the guidance of Biscuit for better preparation at attempting the game. With their abilities vastly improving and the threat of player killers menacing Greed Island, Gon and company continue the game despite the dangers that they will face with the game activities and encounters with other players. Based on the manga by Togashi Yoshihiro.",https://cdn.myanimelist.net/images/anime/1/139.jpg,8.25,"76,791 users",HUNTER×HUNTER G・I Final,14,Finished Airing,"Mar 3, 2004 to Aug 18, 2004",24 min. per ep.,#1533,,PG-13 - Teens 13 or older,"141,774",239,add some,add some,"Action,Adventure,Fantasy",Nippon Animation
Horimiya: Piece,"As the graduation ceremony at Katagiri High School comes to an end, Kyouko Hori, her boyfriend Izumi Miyamura, and their friends begin to look back on their time as students. The moments they shared together may be fleeting, but each one is a colorful piece of their precious memories. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1007/136277.jpg,8.25,"84,641 users",ホリミヤ -piece-,13,Finished Airing,"Jul 1, 2023 to Sep 23, 2023",23 min. per ep.,#907,,PG-13 - Teens 13 or older,"255,872","2,124","Aniplex,Square Enix,Mainichi Broadcasting System,Movic,Kanetsu Investment,Global Solutions,Mirai-Kojo",add some,,CloverWorks
BanG Dream! It's MyGO!!!!!,"In their last year of middle school, the five band members of CRYCHIC went their separate ways after an unpleasant disbandment. Each wrestling with their own regrets, the girls enrolled in different high schools, hoping never to hear from one another again. Meanwhile, Anon Chihaya transfers to Haneoka Girls' Academy in the middle of the school year. As most students play in a band as a hobby, Anon desires to fit in and spends her first days trying to recruit members for her own band, envisioning herself as the group's vocalist. She befriends Tomori Takamatsu, a shy girl who seems interested but hesitant about joining. As it turns out, Tomori used to be part of CRYCHIC, an experience that has scarred her deeply. Through Tomori, Anon meets Taki Shiina and Soyo Nagasaki, both former members of the same band. Although Taki detests the idea of playing with Anon, Soyo is delighted to help her out. Now with Soyo by her side, Anon's dream of forming a band is within reach—if only she could find a few more members. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1891/136948.jpg,8.20,"5,106 users",バンドリ！It's MyGO!!!!!,13,Finished Airing,"Jun 29, 2023 to Sep 14, 2023",24 min. per ep.,#5617,,PG-13 - Teens 13 or older,"12,697",280,"Ultra Super Pictures,Bushiroad,Tokyo MX,Good Smile Company,Bushiroad Music,HoriPro International,Ace Crew Entertainment",add some,,SANZIGEN
